croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
968,153507096.57153,0,14,0,46,17,7,5,0,32,85.734,2.667,57.763,1.451,2.16,2.014,14.75,90.92,1.373
969,141695088.838155,0,0,17,48,33,38,1,0,9,85.734,32.673,1.856,1.26,3.544,0.844,18.126,90.92,4.388
970,193943835.475959,0,7,0,33,13,37,9,0,2,85.734,1.598,57.763,3.364,6.503,0.563,4.534,90.92,4.827
971,995846396.522078,0,22,0,47,6,45,9,0,11,85.734,2.532,57.763,2.892,6.436,2.396,4.534,90.92,4.32
972,20162063.0853104,14,0,17,33,35,22,4,0,10,1.868,32.673,1.856,3.364,4.32,2.768,11.352,90.92,4.287
973,1493014.74754663,1,0,18,35,37,66,3,0,7,1.958,32.673,1.373,1.136,3.488,2.318,4.748,90.92,4.287
974,139317218.748,0,2,0,22,16,63,7,0,9,85.734,1.778,57.763,0.99,1.991,1.823,11.037,90.92,4.388
975,1826485081.98354,0,35,0,0,12,23,5,0,31,85.734,2.802,57.763,20.545,3.195,0.923,14.75,90.92,1.62
976,20283.273689679,9,54,0,0,8,71,2,0,53,0.945,0.18,57.763,20.545,5.052,0.113,3.184,90.92,0.608
977,618924285.852463,0,19,0,0,29,86,12,0,25,85.734,1.879,57.763,20.545,3.319,1.609,2.543,90.92,2.622
978,6270749.06707081,1,0,14,9,7,61,4,0,2,1.958,32.673,2.025,1.294,4.197,1.789,11.352,90.92,4.827
979,90223594603.2629,0,0,0,0,29,9,4,0,11,85.734,32.673,57.763,20.545,3.319,1.834,11.352,90.92,4.32
980,1771859555.14826,0,0,0,48,13,19,5,0,14,85.734,32.673,57.763,1.26,6.503,0.484,14.75,90.92,2.059
981,533985.997898913,0,15,19,11,33,3,13,2,46,85.734,1.654,4.388,1.62,3.544,1.181,10.992,6.019,1.913
982,13381084.3003623,9,4,0,0,10,64,13,0,18,0.945,2.599,57.763,20.545,1.046,2.351,10.992,90.92,1.868
983,32085933.8454976,0,0,17,10,29,61,3,0,16,85.734,32.673,1.856,1.845,3.319,1.789,4.748,90.92,1.305
984,4081628140.64282,0,8,0,0,35,52,7,0,20,85.734,2.216,57.763,20.545,4.32,1.856,11.037,90.92,2.25
985,60962287.8439574,0,1,16,12,6,27,4,0,3,85.734,2.903,1.553,2.104,6.436,2.171,11.352,90.92,5.198
986,604992943.490193,0,0,21,23,33,46,7,0,2,85.734,32.673,1.193,3.938,3.544,2.678,11.037,90.92,4.827
987,8974657469.03402,0,29,0,0,15,42,1,0,12,85.734,1.688,57.763,20.545,3.792,1.778,18.126,90.92,4.703
988,40230354.0560641,0,22,19,46,33,2,5,0,4,85.734,2.532,4.388,1.451,3.544,1.44,14.75,90.92,4.253
989,157304649.029403,0,0,5,28,25,34,1,0,36,85.734,32.673,1.778,1.564,4.433,2.385,18.126,90.92,1.159
990,566017.926997699,0,1,16,34,28,36,9,0,11,85.734,2.903,1.553,0.518,1.485,1.069,4.534,90.92,4.32
991,519610728.235681,0,30,0,32,7,10,5,0,2,85.734,2.509,57.763,0.563,4.197,2.734,14.75,90.92,4.827
992,13428832.1125564,0,0,25,36,15,23,3,0,21,85.734,32.673,1.834,1.114,3.792,0.923,4.748,90.92,1.553
993,385333940.941631,0,0,20,0,25,31,12,0,2,85.734,32.673,0.776,20.545,4.433,1.744,2.543,90.92,4.827
994,265208251.047582,0,4,0,29,5,48,5,0,11,85.734,2.599,57.763,3.589,1.001,0.99,14.75,90.92,4.32
995,1579313486.68811,0,1,0,5,13,53,7,0,3,85.734,2.903,57.763,3.555,6.503,0.911,11.037,90.92,5.198
996,45806184.8078088,0,38,0,10,24,13,2,0,36,85.734,1.845,57.763,1.845,5.142,1.575,3.184,90.92,1.159
997,279673510.011021,0,8,0,0,6,68,5,0,36,85.734,2.216,57.763,20.545,6.436,0.124,14.75,90.92,1.159
998,5862285400.902,0,0,3,0,4,44,5,0,3,85.734,32.673,2.048,20.545,2.588,2.757,14.75,90.92,5.198
999,130214737.529466,0,38,0,23,18,4,3,0,46,85.734,1.845,57.763,3.938,3.33,1.316,4.748,90.92,1.913
1000,184730982.251168,0,0,1,42,17,15,5,0,1,85.734,32.673,0.653,2.655,2.16,2.588,14.75,90.92,5.074
1001,4649848727.37516,0,0,0,23,24,1,1,0,18,85.734,32.673,57.763,3.938,5.142,0.461,18.126,90.92,1.868
1002,307494936.827076,0,8,0,46,21,13,7,0,1,85.734,2.216,57.763,1.451,2.408,1.575,11.037,90.92,5.074
1003,688424509.574218,0,19,0,23,22,61,5,0,12,85.734,1.879,57.763,3.938,1.665,1.789,14.75,90.92,4.703
1004,1077776889.19311,0,0,11,12,13,30,5,0,7,85.734,32.673,1.834,2.104,6.503,2.667,14.75,90.92,4.287
1005,7731723638.45998,0,8,0,0,25,66,1,0,28,85.734,2.216,57.763,20.545,4.433,2.318,18.126,90.92,2.025
1006,87668025.4855825,0,42,0,3,14,10,7,0,9,85.734,1.575,57.763,0.686,1.361,2.734,11.037,90.92,4.388
1007,2520088.03680052,12,36,0,46,12,4,5,0,6,0.63,2.419,57.763,1.451,3.195,1.316,14.75,90.92,3.499
1008,145557639.458087,0,35,0,7,1,34,5,0,30,85.734,2.802,57.763,3.24,3.105,2.385,14.75,90.92,0.326
1009,269800043.609393,0,0,10,7,5,40,1,0,3,85.734,32.673,1.879,3.24,1.001,1.845,18.126,90.92,5.198
1010,3712070.06190125,0,29,16,4,28,49,13,0,11,85.734,1.688,1.553,1.44,1.485,1.789,10.992,90.92,4.32
1011,339185609.183053,0,10,0,23,24,50,9,0,6,85.734,1.271,57.763,3.938,5.142,1.845,4.534,90.92,3.499
1012,31139744.5389202,0,20,0,6,7,66,19,0,53,85.734,0.934,57.763,3.488,4.197,2.318,3.589,90.92,0.608
1013,1175078352.97565,0,36,0,52,7,62,1,0,5,85.734,2.419,57.763,1.125,4.197,2.655,18.126,90.92,4.748
1014,670614.231386187,7,0,23,13,13,45,2,0,46,0.608,32.673,1.26,3.105,6.503,2.396,3.184,90.92,1.913
1015,2531175.13234535,0,29,8,15,15,3,1,0,25,85.734,1.688,1.339,0.675,3.792,1.181,18.126,90.92,2.622
1016,23262637403.2939,0,0,0,23,13,49,5,0,17,85.734,32.673,57.763,3.938,6.503,1.789,14.75,90.92,2.34
1017,62387548.0341166,1,0,14,0,6,17,4,0,17,1.958,32.673,2.025,20.545,6.436,1.508,11.352,90.92,2.34
1018,554678101.144284,0,0,4,0,16,24,3,0,10,85.734,32.673,1.89,20.545,1.991,1.384,4.748,90.92,4.287
1019,324586993.197459,0,0,17,33,13,66,2,0,4,85.734,32.673,1.856,3.364,6.503,2.318,3.184,90.92,4.253
1020,42476434.742239,0,27,0,44,35,13,11,0,7,85.734,0.81,57.763,0.934,4.32,1.575,4.275,90.92,4.287
1021,49491651.6919214,0,7,19,47,4,31,5,0,12,85.734,1.598,4.388,2.892,2.588,1.744,14.75,90.92,4.703
1022,5757977.9213264,0,35,28,42,6,15,7,0,24,85.734,2.802,0.338,2.655,6.436,2.588,11.037,90.92,1.598
1023,617297952.916145,0,37,0,0,22,40,4,0,22,85.734,1.406,57.763,20.545,1.665,1.845,11.352,90.92,1.361
1024,8452294.28773768,0,0,18,55,16,45,12,0,21,85.734,32.673,1.373,1.283,1.991,2.396,2.543,90.92,1.553
1025,642884592.218916,0,0,24,5,3,62,5,0,13,85.734,32.673,1.913,3.555,4.32,2.655,14.75,90.92,2.194
1026,113598212.674744,0,0,7,37,26,10,13,0,8,85.734,32.673,1.823,1.181,1.688,2.734,10.992,90.92,4.084
1027,205943835.983481,0,0,23,25,25,25,4,0,9,85.734,32.673,1.26,2.869,4.433,1.013,11.352,90.92,4.388
1028,936128423.826103,0,38,0,10,3,9,1,0,4,85.734,1.845,57.763,1.845,4.32,1.834,18.126,90.92,4.253
