Croc,DNA,Binary DNA,A1,A2,A3,A4,A5,A6,A7,A8,A9,Attr List
2625,7318363034615811,11010000000000000001100101101000001000000000000000011,0,0,26,0,3,45,4,0,3,0 | 0 | 26 | 0 | 3 | 45 | 4 | 0 | 3
2626,288230518423027723,10000000000000000000010000100100000000010000000000000001011,0,4,0,0,33,32,8,0,11,0 | 4 | 0 | 0 | 33 | 32 | 8 | 0 | 11
2627,4526754098315299,10000000101010000111100010010000001000000000000100011,0,0,16,21,15,18,4,0,35,0 | 0 | 16 | 21 | 15 | 18 | 4 | 0 | 35
2628,2954413158028279857,10100100000000001011110001110100110100000001000000000000110001,0,41,0,47,29,52,4,0,49,0 | 41 | 0 | 47 | 29 | 52 | 4 | 0 | 49
2629,2161748802288746499,1111000000000000100110001010100001110000011000000000000000011,0,30,0,19,21,14,12,0,3,0 | 30 | 0 | 19 | 21 | 14 | 12 | 0 | 3
2630,1806848491822055441,1100100010011001101110010000101010110000000010000000000010001,0,25,19,55,33,86,1,0,17,0 | 25 | 19 | 55 | 33 | 86 | 1 | 0 | 17
2631,21114616787963084831,10010010100000110001100000001100100111111000010100000000000011111,1,37,6,48,25,63,10,0,31,1 | 37 | 6 | 48 | 25 | 63 | 10 | 0 | 31
2632,4785160839823365,10001000000000001010000010100000011010000000000000101,0,0,17,0,20,20,13,0,5,0 | 0 | 17 | 0 | 20 | 20 | 13 | 0 | 5
2633,1407422296293379,101000000000000101100001010000001010000000000000011,0,0,5,0,11,10,5,0,3,0 | 0 | 5 | 0 | 11 | 10 | 5 | 0 | 3
2634,3107254505111570,1011000010100000100000010001000000010000000000010010,0,0,11,10,8,17,1,0,18,0 | 0 | 11 | 10 | 8 | 17 | 1 | 0 | 18
2635,2233785493525954571,1111100000000000000000001001000111110000010010000000000001011,0,31,0,0,18,62,9,0,11,0 | 31 | 0 | 0 | 18 | 62 | 9 | 0 | 11
2636,3170547366168231945,10110000000000000011000000100000000000000000100000000000001001,0,44,0,12,8,0,2,0,9,0 | 44 | 0 | 12 | 8 | 0 | 2 | 0 | 9
